,data_id,day,time,content,if_focus,0,1,2
0,2434614,20211207,10:55:17,【韩国三所名校出现奥密克戎病例 患者都去过同一家教会】据韩联社报道，韩国防疫部门7日称，在韩国外国语大学、庆熙大学、首尔大学三所名校就读的3名外国留学生感染奥密克戎变异毒株。这是首尔首次出现奥密克戎病例。上述留学生均去过发生奥密克戎疫情的一家教会。外界担心，奥密克戎或以各大高校为主要传播途径，在首尔市区扩散。（海外网）,0,0.0009639507043175399,0.0016589865554124117,0.9973770380020142
1,2434613,20211207,10:54:41,【美疾控中心将7国添加至新冠疫情“非常高风险”列表】当地时间12月6日，美国疾病控制和预防中心定期更新旅行建议清单，将7个国家的新冠疫情风险等级从第3级（高风险）列表转移到第4级（非常高风险）列表。这7个国家包括：安道尔、塞浦路斯、法国、约旦、列支敦士登、葡萄牙、坦桑尼亚。,0,0.018498118966817856,0.8611462116241455,0.12035569548606873
2,2434612,20211207,10:54:32,【弘信电子：子公司提供的柔性压力传感器应用于中烟加热不燃烧电子烟】弘信电子(300657)在互动平台称，公司子公司深圳瑞湖科技所提供的柔性压力传感器应用于中烟加热不燃烧电子烟。,0,0.0057534282095730305,0.9448133111000061,0.04943334311246872
3,2434609,20211207,10:51:14,  汽车零部件板块持续走低，越博动力、菱电电控跌超10%，合兴股份、华达科技、一汽富维跌停，贵航股份、华阳集团、亚普股份、科博达、泉峰汽车等跌超5%。,0,0.0003792848438024521,0.0016928762197494507,0.9979277849197388
4,2434608,20211207,10:49:39,  【WeLab汇立集团收购印尼“雅加达服务银行”】金融科技集团WeLab汇立集团今日宣布收购印尼“雅加达服务银行”（PT Bank Jasa Jakarta，以下简称“BJJ”），并计划继在香港创立WeLab Bank后，将BJJ打造成集团旗下第二间数字银行。,0,0.0392078161239624,0.8620331287384033,0.09875907003879547
5,2434607,20211207,10:49:12,深证成指日内跌幅达1.00%。,0,0.00037507928209379315,0.0018718872452154756,0.9977530837059021
6,2434606,20211207,10:48:58,  【国家能源局主要负责同志赴国能智深公司开展专题调研】国家能源局局长章建华12月2日下午带队赴国家能源集团国能智深控制技术有限公司开展专题调研。,0,0.0037907124496996403,0.9911471009254456,0.005062167998403311
7,2434605,20211207,10:48:21,【上海洋山特殊综合保税区首家外商独资大中华区总部落地】12月7日，上海临港新片区管委会与梅特勒托利多科技（中国）有限公司签署战略合作协议，标志着梅特勒托利多公司中国总部正式落户临港新片区。据介绍，梅特勒托利多集团总部位于瑞士苏黎世，是纽交所上市的标准普尔指数成分公司，距今已有120年历史，是全球领先的精密仪器及衡器制造商与服务供应商。,0,0.01635398156940937,0.9803933501243591,0.0032526564318686724
8,2434604,20211207,10:47:03,【黑龙江省发布“十四五” 知识产权保护和运用规划】近日，黑龙江省政府印发《黑龙江省“十四五”知识产权保护和运用规划》。《规划》明确，到2025年，黑龙江省每万人口高价值发明专利拥有量达4.53件，有效注册商标数量53.09万件，著作权登记数量3000件，地理标志商标110件，技术合同成交额500亿元，知识产权质押融资登记金额10.5亿元，知识产权优势企业数量1000家。,0,0.0004553120816126466,0.9980950951576233,0.001449531177058816
9,2434603,20211207,10:46:49,【腾讯商汤科技等共同成立网络合伙企业】天眼查显示，近日，上海新互交网络合伙企业（有限合伙）成立，执行事务合伙人为上海颂裕财税咨询有限公司，经营范围为网络技术服务；信息技术咨询服务；互联网数据服务。合伙人信息显示，该企业由深圳市腾讯产业创投有限公司、上海商汤科技开发有限公司、东方有线网络有限公司等共同成立。,0,0.002571411896497011,0.9964045286178589,0.0010241131531074643
10,2434602,20211207,10:46:21,【科恒股份：公司正极材料产品近期因原材料价格上涨而提价】科恒股份在互动平台表示，公司正极材料产品近期因原材料上涨而涨价，具体幅度因不同品种而有不同。公司稀土发光材料产品价格基本随稀土原材料价格波动，虽然不是公司最重要的业务领域，但公司不会主动压缩发光材料业务，会力促该业务发展，预计公司今年稀土发光材料业务规模会有所增长。,0,0.9984861016273499,0.0008916951483115554,0.0006222715019248426
11,2434601,20211207,10:46:06,【国家能源局主要负责人主持召开第五次中国—欧佩克高级别对话会】第五次中国—欧佩克高级别对话会12月3日以视频形式召开。会议由中国国家能源局局长章建华和欧佩克秘书长巴尔金都共同主持。与会代表围绕全球能源市场短期、中期和长期展望、中国能源发展规划、欧佩克合作宣言在稳定石油市场方面的支撑作用、欧佩克合作宪章发展、中国油气企业转型与能源安全以及中国—欧佩克能源合作等议题进行了交流。,0,0.0005385007243603468,0.9979442954063416,0.0015171541599556804
12,2434600,20211207,10:45:57,  【普京访印度一天签28项协议】当地时间12月6日，俄罗斯总统普京对印度进行为期一天的短暂访问，与印度签署了28项协议。印方表示，俄已开始向印度交付S-400防空导弹系统，俄方赞扬印方在美国反对下坚持自己的选择。两国还签署一项在印度联合生产超60万支AK-203突击步枪的协议，涉及金额约500亿卢比（约合42亿元人民币），以及另一项为期10年的军事合作协议。（央视军事）,0,0.003503625513985753,0.16509957611560822,0.831396758556366
13,2434599,20211207,10:45:29,军工板块持续下挫，东华测试、华强科技跌超10%，贵航股份、光启技术、全信股份、钢研高纳跟跌。,0,0.0003566248924471438,0.0024883837904781103,0.997154951095581
14,2434598,20211207,10:43:03,【中信证券等29股获北向资金增持额超亿元】据wind统计显示，12月6日共有595只股获北向资金持股量环比上一个交易日增加。以增持的股份数量和当日收盘价为基准进行测算，加仓股中，增持市值在1亿元以上的有29只，增持市值最多的是中信证券，最新持股量为5.1亿股，增持市值为8.42亿元；增持市值较多还有东方财富、平安银行、招商银行、亿纬锂能、韦尔股份等股。,0,0.011764259077608585,0.98050457239151,0.007731120102107525
15,2434597,20211207,10:42:44,  【京津冀人行设125亿货币政策资金额度支持小微企业、民营企业融资】京津冀三地人民银行联合发布“京津冀产业链金融支持计划”，三地人民银行通过单设再贷款、再贴现额度，工信部门通过提供产业链、核心企业名单，支持商业银行为企业提供低成本、高便捷的融资服务。目前三地人民银行共设置125亿元货币政策资金额度支持京津冀产业链上的小微企业和民营企业融资。该计划聚焦雄安、北三县、张家口、通州、武清、宝坻、滨海新区等重点区域，鼓励经办银行综合考虑企业所在产业发展前景和所处产业链、供应链中的重要性等“链”信息，向符合条件的企业发放首贷、信用贷款、中长期贷款，并综合运用供应链金融产品服务上下游企业。,0,0.0005189228686504066,0.999122679233551,0.00035838657640852034
